ID	Error	Mod1	Mod2	Abund1	Abund2	q1	q2	MissPeaks1	MissPeaks2
0	4416061.705910549	<phosphorylation,5>	<phosphorylation,7>	0.23	0.77	38469.4596	128789.0604	[]	[]
1	584176.8633260595	<phosphorylation,5>	<phosphorylation,3>	0.23	0.77	6798.41519	22759.91171	[7]	[7]
2	633090.7784607057	<phosphorylation,1>	<phosphorylation,2>	0.23	0.77	3917.40556	13114.79254	[]	[]
3	367660.6643312993	<phosphorylation,1>	<phosphorylation,3>	0.23	0.77	8522.43939	28531.64491	[]	[]
4	454539.20803460607	<phosphorylation,5><Oxidation,13>	<phosphorylation,3><Oxidation,13>	0.23	0.77	2673.6767	8951.0046	[1,4]	[1]
5	1517430.7117485492	<phosphorylation,5>	<phosphorylation,3>	0.23	0.77	7759.00901	25975.81279	[15,19]	[15,19]
6	333085.9091413454	<phosphorylation,1>	<phosphorylation,3>	0.23	0.77	2291.76105	7672.41745	[]	[]
7	1507939.3692342169	<phosphorylation,1>	<phosphorylation,3>	0.23	0.77	18232.7992	61040.2408	[8,25]	[8,25]
8	901022.8576096655	<phosphorylation,4>	<phosphorylation,6>	0.23	0.77	3622.05323	12126.00427	[20]	[20]
9	207395.96625650136	<phosphorylation,2>	<phosphorylation,3>	0.23	0.77	1397.69795	4679.24965	[]	[]
10	407328.2219894312	<phosphorylation,6><phosphorylation,13>	<phosphorylation,6><phosphorylation,17>	0.23	0.77	2024.09816	6776.32864	[3]	[3]
11	160236.8254880571	<phosphorylation,1>	<phosphorylation,3>	0.23	0.77	1222.26331	4091.92499	[]	[]
12	2875069.6717619626	<phosphorylation,7>	<phosphorylation,6>	0.23	0.77	20077.07232	67214.54648	[9]	[9]
13	1821010.873459785	<phosphorylation,2>	<phosphorylation,4>	0.23	0.77	18747.40925	62763.06575	[]	[]
14	860755.8844781568	<phosphorylation,8>	<phosphorylation,6>	0.23	0.77	7025.01613	23518.53227	[4]	[4]
15	186388.71833382896	<phosphorylation,1><phosphorylation,4>	<phosphorylation,1><phosphorylation,7>	0.23	0.77	1619.57987	5422.07173	[]	[]
16	638208.7259740238	<phosphorylation,7>	<phosphorylation,5>	0.23	0.77	3859.77552	12921.85718	[]	[]
17	629516.725493384	<phosphorylation,5>	<phosphorylation,7>	0.23	0.77	3978.95826	13320.86025	[]	[]
18	1297178.4817419997	<phosphorylation,2>	<phosphorylation,3>	0.23	0.77	8108.00715	27144.19785	[]	[]
19	157033.0861650268	<phosphorylation,5>	<phosphorylation,4>	0.23	0.77	1185.54142	3968.98648	[]	[]
20	227907.33583469782	<phosphorylation,13>	<phosphorylation,11>	0.23	0.77	1066.2444	3569.6008	[12,15]	[15]
21	436267.75383208424	<phosphorylation,4>	<phosphorylation,3>	0.23	0.77	1278.77969	4281.13201	[]	[]
22	364358.3396757896	<phosphorylation,2>	<phosphorylation,3>	0.23	0.77	3399.91893	11382.33727	[1]	[1]
23	2161979.9422831316	<phosphorylation,6>	<phosphorylation,4>	0.23	0.77	11961.4286	40044.7827	[]	[5]
24	506005.51010561705	<phosphorylation,1>	<phosphorylation,2>	0.23	0.77	6434.73128	21542.36123	[9]	[9]
25	627388.4704063995	<phosphorylation,2>	<phosphorylation,4>	0.23	0.77	3992.15566	13365.04284	[5]	[5]
26	240711.8766004046	<phosphorylation,1><phosphorylation,5>	<phosphorylation,1><phosphorylation,6>	0.23	0.77	3612.21095	12093.05405	[]	[]
27	150591.883825328	<phosphorylation,4>	<phosphorylation,1>	0.23	0.77	2726.33216	9127.28594	[]	[]
28	1104239.9260699698	<phosphorylation,3>	<phosphorylation,1>	0.23	0.77	5644.49928	18896.80192	[]	[]
29	842108.1218775015	<phosphorylation,1>	<phosphorylation,3>	0.23	0.77	6874.68793	23015.25958	[]	[]
30	641656.0836121782	<phosphorylation,1><phosphorylation,3><phosphorylation,5>	<phosphorylation,1><phosphorylation,3><phosphorylation,4>	0.23	0.77	4101.70357	13731.79023	[]	[]
31	66506.2724757068	<phosphorylation,7>	<phosphorylation,4>	0.23	0.77	4415.42222	14782.06568	[1,8]	[1,8]
32	3707737.920710134	<phosphorylation,12>	<phosphorylation,10>	0.23	0.77	19509.74547	65315.23483	[11]	[]
33	295842.64576143253	<phosphorylation,9>	<phosphorylation,14>	0.23	0.77	2058.99494	6893.15696	[]	[]
34	1167386.5957349783	<phosphorylation,6>	<phosphorylation,9>	0.23	0.77	9146.11675	30619.60825	[10]	[10]
35	597493.9107411832	<phosphorylation,5>	<phosphorylation,7>	0.23	0.77	3341.11294	11185.46506	[]	[]
36	1739051.1347667498	<phosphorylation,3>	<phosphorylation,1>	0.23	0.77	8260.27138	27653.95202	[17]	[17]
37	1060423.6149572732	<phosphorylation,5>	<phosphorylation,7>	0.23	0.77	9763.52817	32686.59432	[7]	[7]
38	997909.2725931685	<phosphorylation,4>	<phosphorylation,5>	0.23	0.77	8980.41295	30064.86075	[]	[]
39	296907.5289363574	<phosphorylation,3>	<phosphorylation,1>	0.23	0.77	916.21052	3067.31348	[10,18]	[10,18]
40	2681015.2901329882	<phosphorylation,9>	<phosphorylation,8>	0.23	0.77	19613.31686	65661.97384	[1,2,10]	[1,2,10]
41	341324.87569891696	<phosphorylation,3><phosphorylation,4>	<phosphorylation,3><phosphorylation,5>	0.23	0.77	7787.6974	26071.8565	[]	[]
42	225611.926760702	<phosphorylation,9>	<phosphorylation,12>	0.23	0.77	2615.27135	8755.47365	[]	[]
43	140496.88102807914	<phosphorylation,2>	<phosphorylation,3>	0.23	0.77	1925.19235	6445.20916	[8]	[8]
44	327359.8328527565	<phosphorylation,13>	<phosphorylation,12>	0.23	0.77	11431.10005	38269.33495	[8,13]	[8,13]
