ID	Error	Mod1	Mod2	Abund1	Abund2	q1	q2	MissPeaks1	MissPeaks2
0	1175477.9528397422	<phosphorylation,3>	<phosphorylation,2>	0.43	0.5700000000000001	18428.35808	24428.28862	[2]	[]
1	236582.75029046924	<phosphorylation,5>	<phosphorylation,6>	0.43	0.5700000000000001	4297.67585	5696.91915	[]	[]
2	808405.3496650781	<phosphorylation,6>	<phosphorylation,5>	0.43	0.5700000000000001	11583.1809	15354.4491	[]	[]
3	193238.35480087373	<phosphorylation,11>	<phosphorylation,6>	0.43	0.5700000000000001	1774.01927	2351.60693	[]	[]
4	38942.93249353985	<phosphorylation,1>	<phosphorylation,2>	0.43	0.5700000000000001	1898.70035	2516.88185	[]	[]
5	871165.9843115238	<phosphorylation,1>	<phosphorylation,3>	0.43	0.5700000000000001	10420.08572	13812.67178	[]	[]
6	290664.8048898996	<phosphorylation,5>	<phosphorylation,7>	0.43	0.5700000000000001	4529.16011	6003.77039	[]	[]
7	232513.44375235192	<phosphorylation,4>	<phosphorylation,5>	0.43	0.5700000000000001	5808.85482	7700.10988	[]	[]
8	213094.84946695404	<phosphorylation,5><phosphorylation,6>	<phosphorylation,3><phosphorylation,5>	0.43	0.5700000000000001	14923.24675	19781.97825	[]	[]
9	1936214.9117223825	<phosphorylation,2>	<phosphorylation,1>	0.43	0.5700000000000001	29388.22908	38956.48972	[2]	[2]
10	316976.10070074775	<phosphorylation,9>	<phosphorylation,13>	0.43	0.5700000000000001	2203.62552	2921.08499	[14,16,30]	[14,16,30]
11	369877.36557666014	<phosphorylation,7>	<phosphorylation,8>	0.43	0.5700000000000001	5036.4794	6676.2634	[5]	[5]
12	181579.72154234137	<phosphorylation,5>	<phosphorylation,3>	0.43	0.5700000000000001	4115.76383	5455.77997	[8]	[8]
13	41958.20332335302	<phosphorylation,3>	<phosphorylation,2>	0.43	0.5700000000000001	5164.90217	6846.49823	[]	[]
14	1534342.3711674477	<phosphorylation,4>	<phosphorylation,6>	0.43	0.5700000000000001	21301.74983	28237.20327	[]	[]
15	896742.8844903321	<phosphorylation,1>	<phosphorylation,3>	0.43	0.5700000000000001	22304.36823	29566.25557	[5]	[5]
16	99772.64323089429	<phosphorylation,9>	<phosphorylation,3>	0.43	0.5700000000000001	3399.71597	4506.60023	[15]	[15]
17	199456.56733751443	<phosphorylation,5>	<phosphorylation,8>	0.43	0.5700000000000001	3361.70715	4456.21645	[]	[]
18	189669.4236361294	<phosphorylation,2><Oxidation,4>	<phosphorylation,2><Oxidation,5>	0.43	0.5700000000000001	11120.63042	14741.30078	[2]	[2]
19	338202.5348489021	<phosphorylation,5>	<phosphorylation,8>	0.43	0.5700000000000001	3860.44557	5117.33483	[2,20]	[2,20]
20	261348.65865154806	<phosphorylation,4>	<phosphorylation,1>	0.43	0.5700000000000001	10558.5081	13996.1619	[]	[]
21	614851.148388721	<phosphorylation,12>	<phosphorylation,13>	0.43	0.5700000000000001	5259.08185	6971.34105	[]	[]
22	1343981.5097227932	<phosphorylation,3>	<phosphorylation,1>	0.43	0.5700000000000001	83113.1305	110173.2195	[]	[]
23	624033625.6019355	<phosphorylation,7>	<phosphorylation,4>	0.43	0.5700000000000001	12227124.648	16208048.952	[]	[]
24	538482.6546652741	<phosphorylation,1>	<phosphorylation,4>	0.43	0.5700000000000001	11027.27634	14617.55236	[]	[]
25	568876.779454898	<phosphorylation,7>	<phosphorylation,8>	0.43	0.5700000000000001	2739.13595	3630.94765	[1,17,31]	[1,7,17,31]
26	1891104.1049066742	<Oxidation,1><phosphorylation,2>	<Oxidation,1><phosphorylation,3>	0.43	0.5700000000000001	23404.74038	31024.88842	[2]	[]
27	306115.1289314934	<phosphorylation,3>	<phosphorylation,5>	0.43	0.5700000000000001	3122.77928	4139.49812	[11,13]	[11,13]
28	301954.8589050504	<phosphorylation,3>	<phosphorylation,4>	0.43	0.5700000000000001	7138.56708	9462.75172	[]	[]
29	405261.2201039886	<phosphorylation,1>	<phosphorylation,5>	0.43	0.5700000000000001	8286.52682	10984.46578	[]	[]
30	84439.3325795621	<phosphorylation,10>	<phosphorylation,5>	0.43	0.5700000000000001	10052.77788	13325.77532	[11]	[7,11]
31	285281.0867614587	<phosphorylation,5>	<phosphorylation,2>	0.43	0.5700000000000001	5971.66542	7915.92858	[5]	[5]
32	225033.15574002045	<phosphorylation,6>	<phosphorylation,5>	0.43	0.5700000000000001	14143.04164	18747.75287	[]	[]
33	457629.673292725	<phosphorylation,1>	<phosphorylation,3>	0.43	0.5700000000000001	7079.59323	9384.57707	[7]	[7]
34	165688.6893686971	<phosphorylation,2>	<phosphorylation,7>	0.43	0.5700000000000001	4057.24015	5378.20205	[]	[]
35	648199.7134774815	<phosphorylation,5><Oxidation,11>	<phosphorylation,3><Oxidation,11>	0.43	0.5700000000000001	11175.09968	14813.50422	[]	[]
36	309497.0286405945	<phosphorylation,5>	<phosphorylation,6>	0.43	0.5700000000000001	2699.79718	3578.80092	[]	[]
37	3492476.184524769	<phosphorylation,5>	<phosphorylation,3>	0.43	0.5700000000000001	80509.8546	106722.3654	[]	[]
38	678808.941660707	<phosphorylation,1>	<phosphorylation,2>	0.43	0.5700000000000001	5371.29422	7120.08768	[]	[]
39	302176.04040197504	<phosphorylation,4>	<phosphorylation,5>	0.43	0.5700000000000001	2444.79248	3240.77142	[3]	[3]
40	4630037.580663426	<phosphorylation,1>	<phosphorylation,2>	0.43	0.5700000000000001	47579.36722	63070.32398	[5,14]	[5,14]
41	181727.2572253928	<phosphorylation,5>	<phosphorylation,7>	0.43	0.5700000000000001	5455.03581	7231.09399	[]	[]
42	146148.44322929348	<phosphorylation,9>	<phosphorylation,12>	0.43	0.5700000000000001	1835.62124	2433.26536	[12]	[12]
43	575251.9486097437	<phosphorylation,1><phosphorylation,15>	<phosphorylation,1><phosphorylation,6>	0.43	0.5700000000000001	5414.4955	7177.3545	[5,17]	[5,17]
44	3742661.2443267377	<phosphorylation,11>	<phosphorylation,9>	0.43	0.5700000000000001	42990.85846	56987.88214	[13]	[13]
45	1046969.0986106244	<phosphorylation,2>	<phosphorylation,5>	0.43	0.5700000000000001	20935.02098	27751.07432	[1]	[1]
46	493713.2447215391	<phosphorylation,9>	<phosphorylation,12>	0.43	0.5700000000000001	7354.79301	9749.37679	[]	[]
47	2191534.219011361	<phosphorylation,9>	<phosphorylation,11>	0.43	0.5700000000000001	30065.08636	39853.71914	[]	[]
48	925854.3784702312	<phosphorylation,6><Oxidation,12>	<phosphorylation,5><Oxidation,12>	0.43	0.5700000000000001	11744.41073	15568.17237	[4]	[4]
49	725500.1191049417	<phosphorylation,3>	<phosphorylation,4>	0.43	0.5700000000000001	12348.82922	16369.37827	[]	[]
50	2093398.202612759	<phosphorylation,6>	<phosphorylation,10>	0.43	0.5700000000000001	28416.6403	37668.5697	[1]	[1]
51	65001.85601179063	<phosphorylation,3>	<phosphorylation,5>	0.43	0.5700000000000001	2446.28982	3242.75628	[]	[]
52	697908.7968022992	<phosphorylation,15>	<phosphorylation,18>	0.43	0.5700000000000001	5393.11792	7149.01678	[15]	[]
53	11537043.592947	<phosphorylation,1>	<phosphorylation,2>	0.43	0.5700000000000001	141539.68421	187622.37209	[6]	[6]
54	157566.39155314356	<phosphorylation,3>	<phosphorylation,4>	0.43	0.5700000000000001	9512.98142	12610.23118	[]	[]
55	177080.30277528998	<phosphorylation,7>	<phosphorylation,5>	0.43	0.5700000000000001	5852.18902	7757.55288	[4,8]	[4,8]
56	276962.45567826874	<phosphorylation,4>	<phosphorylation,7>	0.43	0.5700000000000001	9169.33432	12154.69898	[13]	[13]
57	218950.28697387088	<phosphorylation,4>	<phosphorylation,1>	0.43	0.5700000000000001	3529.08899	4678.09471	[]	[]
58	66377.36536725634	<phosphorylation,4>	<phosphorylation,1>	0.43	0.5700000000000001	1083.1341	1435.78241	[]	[]
59	226471.67619475778	<phosphorylation,7>	<phosphorylation,8>	0.43	0.5700000000000001	3677.95688	4875.43122	[4,6,10]	[4,6,7,10]
60	6291866.348238782	<phosphorylation,7>	<phosphorylation,5>	0.43	0.5700000000000001	107240.6799	142156.2501	[]	[]
