ID	Error	Mod1	Mod2	Abund1	Abund2	q1	q2	MissPeaks1	MissPeaks2
0	415482.63809402677	<phosphorylation,4>	<phosphorylation,6>	0.41000000000000003	0.59	7003.26715	10077.87225	[]	[]
1	1303605.5954247408	<phosphorylation,3>	<phosphorylation,1>	0.41000000000000003	0.59	28566.4302	41107.7898	[5,10]	[5,10]
2	190297.68831918246	<phosphorylation,1><phosphorylation,8>	<phosphorylation,1><phosphorylation,16>	0.41000000000000003	0.59	1714.88109	2467.75571	[]	[]
3	544140.4082734337	<Oxidation,6><phosphorylation,14>	<Oxidation,6><phosphorylation,17>	0.41000000000000003	0.59	7341.78185	10565.00315	[12]	[12]
4	591734.6275779014	<phosphorylation,5>	<phosphorylation,6>	0.41000000000000003	0.59	9038.94089	13007.25641	[1,4]	[1,4]
5	1087436.8069656924	<phosphorylation,4>	<phosphorylation,6>	0.41000000000000003	0.59	26953.36158	38786.54472	[]	[]
6	138262.96267994723	<phosphorylation,4>	<phosphorylation,2>	0.41000000000000003	0.59	1959.69406	2820.04754	[]	[3]
7	94072.00742755327	<phosphorylation,5>	<phosphorylation,7>	0.41000000000000003	0.59	3325.98199	4786.16921	[]	[]
8	479252.3249145275	<phosphorylation,5>	<phosphorylation,6>	0.41000000000000003	0.59	7005.21843	10080.68017	[]	[]
9	6534779.127654638	<phosphorylation,1>	<phosphorylation,2>	0.41000000000000003	0.59	99237.24563	142804.81687	[]	[]
10	219970.00389022974	<phosphorylation,2><phosphorylation,8>	<phosphorylation,3><phosphorylation,8>	0.41000000000000003	0.59	3401.40608	4894.70632	[3]	[3]
11	735583.9466923159	<phosphorylation,10>	<phosphorylation,8>	0.41000000000000003	0.59	8134.9248	11706.3552	[]	[]
12	1519814.9121193686	<phosphorylation,10>	<phosphorylation,13>	0.41000000000000003	0.59	47061.37128	67722.46112	[5]	[5]
13	301201.7821979485	<phosphorylation,8>	<phosphorylation,10>	0.41000000000000003	0.59	18315.89007	26357.01253	[]	[]
14	429201.06580882764	<phosphorylation,6>	<phosphorylation,7>	0.41000000000000003	0.59	9582.20106	13789.02104	[5]	[5]
15	134157.7248543095	<phosphorylation,3>	<phosphorylation,4>	0.41000000000000003	0.59	2254.65966	3244.51024	[11]	[11]
16	154586.18886638895	<phosphorylation,3>	<phosphorylation,5>	0.41000000000000003	0.59	2997.1827	4313.019	[]	[]
17	4115249.7892306135	<phosphorylation,5>	<phosphorylation,6>	0.41000000000000003	0.59	67768.04347	97519.86743	[10]	[10]
18	165168.86247910827	<phosphorylation,1><phosphorylation,6>	<phosphorylation,3><phosphorylation,6>	0.41000000000000003	0.59	1683.58628	2422.72172	[4,8]	[4,8]
19	351581.4965272888	<phosphorylation,1>	<phosphorylation,3>	0.41000000000000003	0.59	4901.88185	7053.92755	[]	[]
20	96597.74863869535	<phosphorylation,9>	<phosphorylation,5>	0.41000000000000003	0.59	5302.09191	7629.83958	[15]	[15]
21	368055.63085824926	<phosphorylation,5>	<phosphorylation,4>	0.41000000000000003	0.59	7321.40407	10535.67903	[6]	[6]
22	889784.8505292168	<phosphorylation,1>	<phosphorylation,3>	0.41000000000000003	0.59	12254.87848	17635.06903	[2]	[]
23	528833.4954438014	<phosphorylation,13>	<phosphorylation,14>	0.41000000000000003	0.59	3263.19484	4695.81696	[1,18]	[1,18]
24	105715.21573905696	<phosphorylation,2>	<phosphorylation,5>	0.41000000000000003	0.59	6193.65016	8912.81364	[]	[]
25	54989.48829073166	<phosphorylation,2>	<phosphorylation,4>	0.41000000000000003	0.59	1770.80948	2548.23802	[8]	[8]
26	614562.3989354483	<phosphorylation,7>	<phosphorylation,3>	0.41000000000000003	0.59	8588.6768	12359.3154	[]	[]
27	97130.67705524796	<phosphorylation,2><Oxidation,4>	<phosphorylation,1><Oxidation,4>	0.41000000000000003	0.59	3344.20231	4812.38869	[]	[]
28	586770.4424181965	<phosphorylation,2>	<phosphorylation,3>	0.41000000000000003	0.59	6565.17178	9447.44232	[]	[]
29	277943.60791030823	<phosphorylation,6><Oxidation,17>	<phosphorylation,4><Oxidation,17>	0.41000000000000003	0.59	2155.5112	3101.8332	[]	[]
30	356673.3498751628	<phosphorylation,5>	<phosphorylation,3>	0.41000000000000003	0.59	4827.30613	6946.61127	[7]	[4,7]
31	489407.65106517525	<phosphorylation,2>	<phosphorylation,1>	0.41000000000000003	0.59	6708.82693	9654.16557	[]	[]
32	4804746.039117596	<phosphorylation,12><phosphorylation,13>	<phosphorylation,12><phosphorylation,15>	0.41000000000000003	0.59	36266.46378	52188.32592	[]	[14]
33	81333.78667927111	<phosphorylation,3>	<phosphorylation,5>	0.41000000000000003	0.59	1842.45288	2651.33462	[9]	[9]
